,precision,recall,f1-score,support
African,0.0,0.0,0.0,9.0
East Asian or South East Asian,0.25,0.6153846153846154,0.35555555555555557,39.0
Eastern European,0.0,0.0,0.0,31.0
English,0.8166666666666667,0.8828828828828829,0.8484848484848485,111.0
"Middle Eastern, Central Asian or Southern Europe",0.34782608695652173,0.25,0.2909090909090909,32.0
Northern European,0.0,0.0,0.0,9.0
Oceanian or Other,0.40425531914893614,0.4367816091954023,0.4198895027624309,87.0
South Asian,0.0,0.0,0.0,21.0
Western European,0.4,0.42696629213483145,0.41304347826086957,89.0
accuracy,0.48130841121495327,0.48130841121495327,0.48130841121495327,0.48130841121495327
macro avg,0.24652756364134717,0.29022393328863694,0.2586536084414217,428.0
weighted avg,0.4259360924031919,0.48130841121495327,0.44544119640916974,428.0
