,precision,recall,f1-score,support
African,0.0,0.0,0.0,9.0
East Asian or South East Asian,0.4166666666666667,0.5128205128205128,0.45977011494252873,39.0
Eastern European,0.0,0.0,0.0,31.0
English,0.8376068376068376,0.8828828828828829,0.8596491228070176,111.0
"Middle Eastern, Central Asian or Southern Europe",0.0,0.0,0.0,32.0
Northern European,0.0,0.0,0.0,9.0
Oceanian or Other,0.3939393939393939,0.5977011494252874,0.4748858447488584,87.0
South Asian,0.0,0.0,0.0,21.0
Western European,0.40458015267175573,0.5955056179775281,0.4818181818181818,89.0
accuracy,0.5210280373831776,0.5210280373831776,0.5210280373831776,0.5210280373831776
macro avg,0.22808811676496157,0.287656684789579,0.25290258492406514,428.0
weighted avg,0.41940355101605725,0.5210280373831776,0.46156302287221124,428.0
