,precision,recall,f1-score,support
African,0.0,0.0,0.0,8.0
East Asian or South East Asian,0.0,0.0,0.0,13.0
Eastern European,0.3333333333333333,0.1,0.15384615384615385,10.0
English,0.0,0.0,0.0,9.0
"Middle Eastern, Central Asian or Southern Europe",0.0,0.0,0.0,9.0
Northern European,0.5,0.2,0.2857142857142857,10.0
Oceanian or Other,0.0,0.0,0.0,6.0
South Asian,0.05454545454545454,0.42857142857142855,0.0967741935483871,7.0
Western European,0.0,0.0,0.0,8.0
accuracy,0.075,0.075,0.075,0.075
macro avg,0.09865319865319866,0.08095238095238094,0.059592737012091855,80.0
weighted avg,0.10893939393939393,0.075,0.06341279688053882,80.0
