,precision,recall,f1-score,support
African,0.012048192771084338,0.6666666666666666,0.023668639053254437,3.0
East Asian or South East Asian,0.0,0.0,0.0,16.0
Eastern European,0.0,0.0,0.0,20.0
English,0.3333333333333333,0.03389830508474576,0.06153846153846154,59.0
"Middle Eastern, Central Asian or Southern Europe",0.0,0.0,0.0,15.0
Northern European,0.0,0.0,0.0,3.0
Oceanian or Other,0.2,0.13157894736842105,0.15873015873015872,38.0
South Asian,0.0,0.0,0.0,10.0
Western European,0.0,0.0,0.0,36.0
accuracy,0.045,0.045,0.045,0.045
macro avg,0.0605979473449353,0.09246043545775927,0.027104139924652746,200.0
weighted avg,0.1365140562248996,0.045,0.048667605898375134,200.0
