,precision,recall,f1-score,support
African,0.0,0.0,0.0,9.0
East Asian or South East Asian,0.0,0.0,0.0,39.0
Eastern European,0.0,0.0,0.0,31.0
English,0.673202614379085,0.9279279279279279,0.7803030303030303,111.0
"Middle Eastern, Central Asian or Southern Europe",0.0,0.0,0.0,32.0
Northern European,0.0,0.0,0.0,9.0
Oceanian or Other,0.2727272727272727,0.7931034482758621,0.40588235294117647,87.0
South Asian,0.0,0.0,0.0,21.0
Western European,0.22727272727272727,0.056179775280898875,0.09009009009009009,89.0
accuracy,0.4135514018691589,0.4135514018691589,0.4135514018691589,0.4135514018691589
macro avg,0.13035584604212055,0.19746790572052098,0.14180838592603295,428.0
weighted avg,0.27728980292201844,0.4135514018691589,0.3036061193634036,428.0
