,precision,recall,f1-score,support
African,0.25,0.22727272727272727,0.23809523809523808,22.0
East Asian or South East Asian,0.1875,0.16666666666666666,0.17647058823529413,54.0
Eastern European,0.18421052631578946,0.1590909090909091,0.17073170731707318,44.0
English,0.36153846153846153,0.4051724137931034,0.3821138211382114,116.0
"Middle Eastern, Central Asian or Southern Europe",0.1,0.08333333333333333,0.09090909090909091,48.0
Northern European,0.0,0.0,0.0,10.0
Oceanian or Other,0.14814814814814814,0.12903225806451613,0.13793103448275862,31.0
South Asian,0.0,0.0,0.0,21.0
Western European,0.21238938053097345,0.2926829268292683,0.24615384615384617,82.0
accuracy,0.2336448598130841,0.2336448598130841,0.2336448598130841,0.2336448598130841
macro avg,0.16042072405926364,0.16258347056116937,0.16026725848127915,428.0
weighted avg,0.21606833292637545,0.2336448598130841,0.22296499811682743,428.0
