,precision,recall,f1-score,support
African,0.0,0.0,0.0,22.0
East Asian or South East Asian,0.20689655172413793,0.1111111111111111,0.14457831325301204,54.0
Eastern European,0.16666666666666666,0.06818181818181818,0.0967741935483871,44.0
English,0.340080971659919,0.7241379310344828,0.4628099173553719,116.0
"Middle Eastern, Central Asian or Southern Europe",0.19230769230769232,0.10416666666666667,0.13513513513513514,48.0
Northern European,0.0,0.0,0.0,10.0
Oceanian or Other,0.3333333333333333,0.06451612903225806,0.10810810810810811,31.0
South Asian,1.0,0.047619047619047616,0.09090909090909091,21.0
Western European,0.26595744680851063,0.3048780487804878,0.2840909090909091,82.0
accuracy,0.29439252336448596,0.29439252336448596,0.29439252336448596,0.29439252336448596
macro avg,0.2783602958333622,0.15829008360287472,0.14693396304444606,428.0
weighted avg,0.28113960990978465,0.29439252336448596,0.23549912882569654,428.0
