,precision,recall,f1-score,support
African,0.18333333333333332,0.5,0.2682926829268293,22.0
East Asian or South East Asian,0.18518518518518517,0.18518518518518517,0.18518518518518517,54.0
Eastern European,0.25,0.25,0.25,44.0
English,0.4666666666666667,0.3620689655172414,0.4077669902912621,116.0
"Middle Eastern, Central Asian or Southern Europe",0.15,0.1875,0.16666666666666666,48.0
Northern European,0.0,0.0,0.0,10.0
Oceanian or Other,0.2857142857142857,0.25806451612903225,0.2711864406779661,31.0
South Asian,0.058823529411764705,0.14285714285714285,0.08333333333333333,21.0
Western European,0.25,0.08536585365853659,0.12727272727272726,82.0
accuracy,0.23598130841121495,0.23598130841121495,0.23598130841121495,0.23598130841121495
macro avg,0.20330255559013727,0.21900462926079312,0.19552266959488554,428.0
weighted avg,0.27326893374172095,0.23598130841121495,0.24017886260644214,428.0
