,precision,recall,f1-score,support
African,0.07692307692307693,0.045454545454545456,0.05714285714285714,22.0
East Asian or South East Asian,0.16071428571428573,0.16666666666666666,0.16363636363636364,54.0
Eastern European,0.15555555555555556,0.15217391304347827,0.15384615384615385,46.0
English,0.4068965517241379,0.5086206896551724,0.4521072796934866,116.0
"Middle Eastern, Central Asian or Southern Europe",0.21739130434782608,0.20833333333333334,0.2127659574468085,48.0
Northern European,0.0,0.0,0.0,10.0
Oceanian or Other,0.10526315789473684,0.06896551724137931,0.08333333333333333,29.0
South Asian,0.07692307692307693,0.047619047619047616,0.058823529411764705,21.0
Western European,0.28735632183908044,0.3048780487804878,0.2958579881656805,82.0
accuracy,0.26635514018691586,0.26635514018691586,0.26635514018691586,0.26635514018691586
macro avg,0.16522481454686408,0.16696797353267898,0.16416816251960534,428.0
weighted avg,0.24157114922959558,0.26635514018691586,0.2517288686593933,428.0
